date,holiday_name
2004-07-04,4th of July
2005-07-04,4th of July
2006-07-04,4th of July
2007-07-04,4th of July
2008-07-04,4th of July
2009-07-04,4th of July
2010-07-04,4th of July
2011-07-04,4th of July
2012-07-04,4th of July
2013-07-04,4th of July
2014-07-04,4th of July
2015-07-04,4th of July
2016-07-04,4th of July
2017-07-04,4th of July
2018-07-04,4th of July
2019-07-04,4th of July
2020-07-04,4th of July
2021-07-04,4th of July
2004-12-25,Christmas Day
2005-12-25,Christmas Day
2006-12-25,Christmas Day
2007-12-25,Christmas Day
2008-12-25,Christmas Day
2009-12-25,Christmas Day
2010-12-25,Christmas Day
2011-12-25,Christmas Day
2012-12-25,Christmas Day
2013-12-25,Christmas Day
2014-12-25,Christmas Day
2015-12-25,Christmas Day
2016-12-25,Christmas Day
2017-12-25,Christmas Day
2018-12-25,Christmas Day
2019-12-25,Christmas Day
2020-12-25,Christmas Day
2021-12-25,Christmas Day
2004-12-24,Christmas Eve
2005-12-24,Christmas Eve
2006-12-24,Christmas Eve
2007-12-24,Christmas Eve
2008-12-24,Christmas Eve
2009-12-24,Christmas Eve
2010-12-24,Christmas Eve
2011-12-24,Christmas Eve
2012-12-24,Christmas Eve
2013-12-24,Christmas Eve
2014-12-24,Christmas Eve
2015-12-24,Christmas Eve
2016-12-24,Christmas Eve
2017-12-24,Christmas Eve
2018-12-24,Christmas Eve
2019-12-24,Christmas Eve
2020-12-24,Christmas Eve
2021-12-24,Christmas Eve
2007-10-08,Columbus Day
2012-10-08,Columbus Day
2018-10-08,Columbus Day
2006-10-09,Columbus Day
2017-10-09,Columbus Day
2005-10-10,Columbus Day
2011-10-10,Columbus Day
2016-10-10,Columbus Day
2004-10-11,Columbus Day
2010-10-11,Columbus Day
2021-10-11,Columbus Day
2009-10-12,Columbus Day
2015-10-12,Columbus Day
2020-10-12,Columbus Day
2008-10-13,Columbus Day
2014-10-13,Columbus Day
2013-10-14,Columbus Day
2019-10-14,Columbus Day
2010-04-04,Eastern Easter
2007-04-08,Eastern Easter
2018-04-08,Eastern Easter
2004-04-11,Eastern Easter
2015-04-12,Eastern Easter
2012-04-15,Eastern Easter
2017-04-16,Eastern Easter
2020-04-19,Eastern Easter
2009-04-19,Eastern Easter
2014-04-20,Eastern Easter
2006-04-23,Eastern Easter
2011-04-24,Eastern Easter
2008-04-27,Eastern Easter
2019-04-28,Eastern Easter
2021-05-02,Eastern Easter
2005-05-01,Eastern Easter
2016-05-01,Eastern Easter
2013-05-05,Eastern Easter
2020-06-19,Juneteenth
2021-06-19,Juneteenth
2004-06-19,Juneteenth
2005-06-19,Juneteenth
2006-06-19,Juneteenth
2007-06-19,Juneteenth
2008-06-19,Juneteenth
2009-06-19,Juneteenth
2010-06-19,Juneteenth
2011-06-19,Juneteenth
2012-06-19,Juneteenth
2013-06-19,Juneteenth
2014-06-19,Juneteenth
2015-06-19,Juneteenth
2016-06-19,Juneteenth
2017-06-19,Juneteenth
2018-06-19,Juneteenth
2019-06-19,Juneteenth
2008-09-01,Labor Day
2014-09-01,Labor Day
2013-09-02,Labor Day
2019-09-02,Labor Day
2007-09-03,Labor Day
2012-09-03,Labor Day
2018-09-03,Labor Day
2006-09-04,Labor Day
2017-09-04,Labor Day
2005-09-05,Labor Day
2011-09-05,Labor Day
2016-09-05,Labor Day
2004-09-06,Labor Day
2010-09-06,Labor Day
2021-09-06,Labor Day
2009-09-07,Labor Day
2015-09-07,Labor Day
2020-09-07,Labor Day
2008-08-30,Labor Day Weekend
2014-08-30,Labor Day Weekend
2008-08-31,Labor Day Weekend
2014-08-31,Labor Day Weekend
2013-08-31,Labor Day Weekend
2019-08-31,Labor Day Weekend
2013-09-01,Labor Day Weekend
2019-09-01,Labor Day Weekend
2007-09-01,Labor Day Weekend
2012-09-01,Labor Day Weekend
2018-09-01,Labor Day Weekend
2007-09-02,Labor Day Weekend
2012-09-02,Labor Day Weekend
2018-09-02,Labor Day Weekend
2006-09-02,Labor Day Weekend
2017-09-02,Labor Day Weekend
2006-09-03,Labor Day Weekend
2017-09-03,Labor Day Weekend
2005-09-03,Labor Day Weekend
2011-09-03,Labor Day Weekend
2016-09-03,Labor Day Weekend
2005-09-04,Labor Day Weekend
2011-09-04,Labor Day Weekend
2016-09-04,Labor Day Weekend
2004-09-04,Labor Day Weekend
2010-09-04,Labor Day Weekend
2021-09-04,Labor Day Weekend
2004-09-05,Labor Day Weekend
2010-09-05,Labor Day Weekend
2021-09-05,Labor Day Weekend
2009-09-05,Labor Day Weekend
2015-09-05,Labor Day Weekend
2020-09-05,Labor Day Weekend
2009-09-06,Labor Day Weekend
2015-09-06,Labor Day Weekend
2020-09-06,Labor Day Weekend
2007-01-15,"Martin Luther King, Jr. Day"
2018-01-15,"Martin Luther King, Jr. Day"
2006-01-16,"Martin Luther King, Jr. Day"
2012-01-16,"Martin Luther King, Jr. Day"
2017-01-16,"Martin Luther King, Jr. Day"
2005-01-17,"Martin Luther King, Jr. Day"
2011-01-17,"Martin Luther King, Jr. Day"
2010-01-18,"Martin Luther King, Jr. Day"
2016-01-18,"Martin Luther King, Jr. Day"
2021-01-18,"Martin Luther King, Jr. Day"
2004-01-19,"Martin Luther King, Jr. Day"
2009-01-19,"Martin Luther King, Jr. Day"
2015-01-19,"Martin Luther King, Jr. Day"
2014-01-20,"Martin Luther King, Jr. Day"
2020-01-20,"Martin Luther King, Jr. Day"
2008-01-21,"Martin Luther King, Jr. Day"
2013-01-21,"Martin Luther King, Jr. Day"
2019-01-21,"Martin Luther King, Jr. Day"
2009-05-25,Memorial Day
2015-05-25,Memorial Day
2020-05-25,Memorial Day
2008-05-26,Memorial Day
2014-05-26,Memorial Day
2013-05-27,Memorial Day
2019-05-27,Memorial Day
2007-05-28,Memorial Day
2012-05-28,Memorial Day
2018-05-28,Memorial Day
2006-05-29,Memorial Day
2017-05-29,Memorial Day
2005-05-30,Memorial Day
2011-05-30,Memorial Day
2016-05-30,Memorial Day
2004-05-31,Memorial Day
2010-05-31,Memorial Day
2021-05-31,Memorial Day
2012-01-01,New Year's Day
2013-01-01,New Year's Day
2014-01-01,New Year's Day
2015-01-01,New Year's Day
2016-01-01,New Year's Day
2017-01-01,New Year's Day
2018-01-01,New Year's Day
2019-01-01,New Year's Day
2020-01-01,New Year's Day
2011-01-01,New Year's Day
2004-01-01,New Year's Day
2005-01-01,New Year's Day
2006-01-01,New Year's Day
2007-01-01,New Year's Day
2008-01-01,New Year's Day
2009-01-01,New Year's Day
2010-01-01,New Year's Day
2021-01-01,New Year's Day
2004-12-31,New Year’s Eve
2005-12-31,New Year’s Eve
2006-12-31,New Year’s Eve
2007-12-31,New Year’s Eve
2008-12-31,New Year’s Eve
2009-12-31,New Year’s Eve
2010-12-31,New Year’s Eve
2011-12-31,New Year’s Eve
2012-12-31,New Year’s Eve
2013-12-31,New Year’s Eve
2014-12-31,New Year’s Eve
2015-12-31,New Year’s Eve
2016-12-31,New Year’s Eve
2017-12-31,New Year’s Eve
2018-12-31,New Year’s Eve
2019-12-31,New Year’s Eve
2020-12-31,New Year’s Eve
2021-12-31,New Year’s Eve
2007-11-22,Thanksgiving Day
2012-11-22,Thanksgiving Day
2018-11-22,Thanksgiving Day
2006-11-23,Thanksgiving Day
2017-11-23,Thanksgiving Day
2005-11-24,Thanksgiving Day
2011-11-24,Thanksgiving Day
2016-11-24,Thanksgiving Day
2004-11-25,Thanksgiving Day
2010-11-25,Thanksgiving Day
2021-11-25,Thanksgiving Day
2009-11-26,Thanksgiving Day
2015-11-26,Thanksgiving Day
2020-11-26,Thanksgiving Day
2008-11-27,Thanksgiving Day
2014-11-27,Thanksgiving Day
2013-11-28,Thanksgiving Day
2019-11-28,Thanksgiving Day
2007-11-21,Thanksgiving Eve
2012-11-21,Thanksgiving Eve
2018-11-21,Thanksgiving Eve
2006-11-22,Thanksgiving Eve
2017-11-22,Thanksgiving Eve
2005-11-23,Thanksgiving Eve
2011-11-23,Thanksgiving Eve
2016-11-23,Thanksgiving Eve
2004-11-24,Thanksgiving Eve
2010-11-24,Thanksgiving Eve
2021-11-24,Thanksgiving Eve
2009-11-25,Thanksgiving Eve
2015-11-25,Thanksgiving Eve
2020-11-25,Thanksgiving Eve
2008-11-26,Thanksgiving Eve
2014-11-26,Thanksgiving Eve
2013-11-27,Thanksgiving Eve
2019-11-27,Thanksgiving Eve
2004-02-14,Valentine’s Day
2005-02-14,Valentine’s Day
2006-02-14,Valentine’s Day
2007-02-14,Valentine’s Day
2008-02-14,Valentine’s Day
2009-02-14,Valentine’s Day
2010-02-14,Valentine’s Day
2011-02-14,Valentine’s Day
2012-02-14,Valentine’s Day
2013-02-14,Valentine’s Day
2014-02-14,Valentine’s Day
2015-02-14,Valentine’s Day
2016-02-14,Valentine’s Day
2017-02-14,Valentine’s Day
2018-02-14,Valentine’s Day
2019-02-14,Valentine’s Day
2020-02-14,Valentine’s Day
2021-02-14,Valentine’s Day
2004-11-11,Veterans Day
2005-11-11,Veterans Day
2006-11-11,Veterans Day
2007-11-11,Veterans Day
2008-11-11,Veterans Day
2009-11-11,Veterans Day
2010-11-11,Veterans Day
2011-11-11,Veterans Day
2012-11-11,Veterans Day
2013-11-11,Veterans Day
2014-11-11,Veterans Day
2015-11-11,Veterans Day
2016-11-11,Veterans Day
2017-11-11,Veterans Day
2018-11-11,Veterans Day
2019-11-11,Veterans Day
2020-11-11,Veterans Day
2021-11-11,Veterans Day
2016-02-15,Washington's Birthday
2015-02-16,Washington's Birthday
2014-02-17,Washington's Birthday
2020-02-17,Washington's Birthday
2013-02-18,Washington's Birthday
